n,score,ave score,test score
382,0.0,1.33,-
383,2.0,1.35,-
384,0.0,1.35,-
385,3.0,1.38,-
386,2.0,1.38,-
387,0.0,1.37,-
388,0.0,1.34,-
389,2.0,1.35,-
390,3.0,1.38,-
391,2.0,1.38,-
392,0.0,1.37,-
393,2.0,1.39,-
394,0.0,1.39,-
395,2.0,1.41,-
396,0.0,1.4,-
397,0.0,1.39,-
398,1.0,1.4,-
399,1.0,1.35,-
400,0.0,1.33,0.0
401,0.0,1.33,-
402,2.0,1.33,-
403,1.0,1.33,-
404,1.0,1.32,-
405,1.0,1.32,-
406,2.0,1.31,-
407,4.0,1.33,-
408,2.0,1.33,-
409,2.0,1.32,-
410,4.0,1.34,-
411,2.0,1.35,-
412,0.0,1.34,-
413,0.0,1.3,-
414,0.0,1.3,-
415,2.0,1.31,-
416,0.0,1.31,-
417,2.0,1.32,-
418,1.0,1.31,-
419,0.0,1.3,-
420,0.0,1.28,-
421,1.0,1.29,-
422,0.0,1.28,-
423,1.0,1.28,-
424,0.0,1.24,-
425,1.0,1.23,-
426,0.0,1.23,-
427,0.0,1.23,-
428,3.0,1.2,-
429,0.0,1.19,-
430,3.0,1.18,-
431,0.0,1.18,-
432,1.0,1.19,-
433,1.0,1.18,-
434,1.0,1.18,-
435,0.0,1.15,-
436,2.0,1.17,-
437,1.0,1.18,-
438,0.0,1.17,-
439,1.0,1.17,-
440,0.0,1.17,-
441,0.0,1.13,-
442,1.0,1.11,-
443,1.0,1.12,-
444,2.0,1.12,-
445,1.0,1.13,-
446,4.0,1.17,-
447,3.0,1.2,-
448,0.0,1.18,-
449,0.0,1.18,-
450,1.0,1.18,0.0
451,3.0,1.21,-
452,4.0,1.24,-
453,2.0,1.23,-
454,4.0,1.26,-
455,1.0,1.27,-
456,0.0,1.24,-
457,1.0,1.22,-
458,3.0,1.25,-
459,1.0,1.26,-
460,2.0,1.27,-
461,1.0,1.28,-
462,1.0,1.26,-
463,3.0,1.29,-
464,0.0,1.27,-
465,0.0,1.24,-
466,2.0,1.24,-
467,1.0,1.24,-
468,0.0,1.22,-
469,0.0,1.21,-
470,0.0,1.21,-
471,0.0,1.21,-
472,1.0,1.21,-
473,6.0,1.25,-
474,0.0,1.23,-
475,1.0,1.23,-
476,0.0,1.21,-
477,1.0,1.21,-
478,2.0,1.22,-
479,1.0,1.19,-
480,1.0,1.19,-
481,0.0,1.17,-
482,1.0,1.18,-
483,0.0,1.16,-
484,3.0,1.19,-
485,0.0,1.16,-
486,0.0,1.14,-
487,1.0,1.15,-
488,0.0,1.15,-
489,1.0,1.14,-
490,0.0,1.11,-
491,2.0,1.11,-
492,2.0,1.13,-
493,9.0,1.2,-
494,2.0,1.22,-
495,0.0,1.2,-
496,2.0,1.22,-
497,0.0,1.22,-
498,2.0,1.23,-
499,2.0,1.24,-
500,1.0,1.25,0.0
