n,score,ave score,test score
439,2.0,2.12,-
440,2.0,2.12,-
441,1.0,2.1,-
442,0.0,2.08,-
443,2.0,2.07,-
444,0.0,2.05,-
445,4.0,2.09,-
446,2.0,2.09,-
447,2.0,2.1,-
448,3.0,2.13,-
449,1.0,2.11,-
450,0.0,2.11,0.0
451,4.0,2.15,-
452,0.0,2.11,-
453,2.0,2.13,-
454,2.0,2.15,-
455,0.0,2.15,-
456,3.0,2.15,-
457,0.0,2.1,-
458,4.0,2.12,-
459,2.0,2.12,-
460,3.0,2.15,-
461,4.0,2.15,-
462,2.0,2.15,-
463,2.0,2.15,-
464,3.0,2.15,-
465,0.0,2.15,-
466,6.0,2.17,-
467,4.0,2.19,-
468,3.0,2.19,-
469,4.0,2.23,-
470,2.0,2.21,-
471,4.0,2.22,-
472,2.0,2.22,-
473,4.0,2.22,-
474,0.0,2.09,-
475,2.0,2.07,-
476,2.0,2.07,-
477,2.0,2.07,-
478,3.0,2.09,-
479,0.0,2.09,-
480,4.0,2.11,-
481,0.0,2.08,-
482,4.0,2.09,-
483,2.0,2.08,-
484,0.0,2.06,-
485,0.0,2.04,-
486,3.0,2.06,-
487,2.0,2.08,-
488,0.0,2.04,-
489,0.0,2.04,-
490,4.0,2.08,-
491,0.0,2.06,-
492,2.0,2.08,-
493,3.0,2.07,-
494,4.0,2.09,-
495,2.0,2.1,-
496,3.0,2.11,-
497,2.0,2.11,-
498,2.0,2.1,-
499,1.0,2.11,-
500,3.0,2.14,0.0
