n,score,ave score,test score
440,1.0,1.22,-
441,0.0,1.21,-
442,0.0,1.2,-
443,2.0,1.18,-
444,4.0,1.19,-
445,5.0,1.23,-
446,0.0,1.21,-
447,2.0,1.21,-
448,0.0,1.17,-
449,3.0,1.2,-
450,2.0,1.22,1.0
451,0.0,1.18,-
452,3.0,1.17,-
453,1.0,1.17,-
454,1.0,1.18,-
455,3.0,1.2,-
456,2.0,1.21,-
457,0.0,1.21,-
458,3.0,1.23,-
459,1.0,1.22,-
460,1.0,1.22,-
461,2.0,1.23,-
462,0.0,1.22,-
463,3.0,1.22,-
464,1.0,1.23,-
465,1.0,1.23,-
466,0.0,1.22,-
467,0.0,1.22,-
468,1.0,1.23,-
469,0.0,1.2,-
470,1.0,1.2,-
471,0.0,1.19,-
472,0.0,1.18,-
473,1.0,1.17,-
474,3.0,1.18,-
475,0.0,1.18,-
476,1.0,1.19,-
477,1.0,1.2,-
478,1.0,1.21,-
479,0.0,1.2,-
480,1.0,1.21,-
481,0.0,1.21,-
482,1.0,1.22,-
483,3.0,1.23,-
484,2.0,1.23,-
485,1.0,1.23,-
486,0.0,1.21,-
487,1.0,1.18,-
488,0.0,1.13,-
489,0.0,1.13,-
490,0.0,1.1,-
491,1.0,1.1,-
492,0.0,1.09,-
493,0.0,1.08,-
494,2.0,1.07,-
495,0.0,1.07,-
496,1.0,1.07,-
497,3.0,1.07,-
498,3.0,1.1,-
499,0.0,1.09,-
500,0.0,1.08,1.0
